CódigoAeronave;Zona;AsientoInicial;AsientoFinal
LV100;1;1;14
LV100;2;15;28
LV100;3;29;44
LV101;1;1;14
LV101;2;15;28
LV101;3;29;42
LV102;1;1;15
LV102;2;16;30
LV102;3;31;45
LV103;1;1;21
LV103;2;22;42
LV103;3;43;65
LV104;1;1;14
LV104;2;15;28
LV104;3;29;44
LV105;1;1;25
LV105;2;26;50
LV105;3;51;76
LV106;1;1;23
LV106;2;24;46
LV106;3;47;70
LV107;1;1;20
LV107;2;21;40
LV107;3;41;62
LV108;1;1;24
LV108;2;25;48
LV108;3;49;72
LV109;1;1;15
LV109;2;16;30
LV109;3;31;45
LV110;1;1;23
LV110;2;24;46
LV110;3;47;69
LV111;1;1;18
LV111;2;19;36
LV111;3;37;56
LV112;1;1;26
LV112;2;27;52
LV112;3;53;79
LV113;1;1;18
LV113;2;19;36
LV113;3;37;55
LV114;1;1;14
LV114;2;15;28
LV114;3;29;42
LV115;1;1;25
LV115;2;26;50
LV115;3;51;76
LV116;1;1;24
LV116;2;25;48
LV116;3;49;72
LV117;1;1;18
LV117;2;19;36
LV117;3;37;55
LV118;1;1;22
LV118;2;23;44
LV118;3;45;68
LV119;1;1;13
LV119;2;14;26
LV119;3;27;40
