numero;fecha_hora;destino;aeronave
AA100;2023-10-01 08:00:00;MDQ;LV100
AB101;2023-10-01 08:20:00;MDZ;LV101
AC102;2023-10-01 08:35:00;COR;LV102
AD103;2023-10-01 09:00:00;AEP;LV103
AE104;2023-10-01 09:15:00;BRC;LV104
BA105;2023-10-01 09:40:00;USH;LV105
BB106;2023-10-01 10:10:00;FTE;LV106
BC107;2023-10-01 10:30:00;REL;LV107
BD108;2023-10-01 11:20:00;AEP;LV108
BE109;2023-10-01 11:45:00;ROS;LV109
BF110;2023-10-01 12:25:00;JUJ;LV110
BG111;2023-10-01 12:50:00;SLA;LV111
BH112;2023-10-01 13:05:00;TUC;LV112
BI113;2023-10-01 14:10:00;SFN;LV113
BJ114;2023-10-01 14:40:00;CNQ;LV114
BK115;2023-10-01 15:10:00;PSS;LV115
BL116;2023-10-01 15:55:00;RES;LV116
BM117;2023-10-01 16:35:00;VGL;LV117
BN118;2023-10-01 17:10:00;RGL;LV118
BO119;2023-10-01 17:30:00;PMY;LV119
