numero;fecha_hora;destino;aeronave
AA100;2023-10-01 08:00:00;MDQ;LV100
AB101;2023-10-01 08:30:00;MDZ;LV101
AC102;2023-10-01 08:45:00;COR;LV102
AD103;2023-10-01 09:10:00;AEP;LV103
AE104;2023-10-01 09:30:00;BRC;LV104
BA105;2023-10-01 09:50:00;USH;LV105
BB106;2023-10-01 10:20:00;FTE;LV106
BC107;2023-10-01 10:40:00;REL;LV107
BD108;2023-10-01 11:45:00;AEP;LV108
BE109;2023-10-01 13:00:00;ROS;LV109
BF110;2023-10-01 13:20:00;JUJ;LV110
BG111;2023-10-01 13:50:00;SLA;LV111
BH112;2023-10-01 14:15:00;TUC;LV112
BI113;2023-10-01 14:35:00;SFN;LV113
BJ114;2023-10-01 14:50:00;CNQ;LV114
